"codigo_ibge","categoria","cod_cnae","ano_atividade","cod_uf","ativas","mei"
"2211001","5","5611201","2021-06-01","22","1560","0"
"3106200","5","5611204","2021-06-01","31","2668","1"
"4106902","5","5611201","2021-06-01","41","1690","1"
"4205407","5","5611203","2019-04-01","42","2501","0"
"2507507","5","5611201","2019-05-01","25","1360","0"
"2927408","5","5611203","2019-02-01","29","3944","0"
"5103403","5","5611204","2019-02-01","51","270","1"
"1100205","5","5611203","2019-03-01","11","324","1"
"2408102","5","5611204","2019-03-01","24","231","1"
"2408102","5","5611204","2020-04-01","24","255","1"
"2408102","5","5611205","2020-04-01","24","27","0"
"1400100","5","5611205","2020-06-01","14","46","1"
"2304400","5","5611205","2020-06-01","23","72","0"
"3205309","5","5611204","2020-06-01","32","240","1"
"3304557","5","5611203","2020-06-01","33","12771","0"
"1100205","5","5611203","2022-02-01","11","752","1"
"3106200","5","5611201","2022-02-01","31","4889","1"
"4106902","5","5611205","2022-02-01","41","126","0"
"2800308","5","5611205","2019-06-01","28","6","1"
"3106200","5","5611203","2019-06-01","31","2590","1"
"5103403","5","5611204","2019-06-01","51","285","1"
"1302603","5","5611205","2019-07-01","13","33","0"
"2111300","5","5611204","2019-07-01","21","305","0"
"2408102","5","5611201","2022-01-01","24","2101","0"
"2611606","5","5611204","2022-01-01","26","484","0"
"4314902","5","5611204","2017-10-01","43","363","1"
"5103403","5","5611201","2017-10-01","51","256","1"
"1100205","5","5611205","2017-11-01","11","7","0"
"1721000","5","5611203","2017-11-01","17","299","1"
"4205407","5","5611203","2021-06-01","42","2466","0"
"5300108","5","5611205","2021-06-01","53","492","1"
"2606200","5","5611203","2021-07-01","26","111","1"
"3106200","5","5611201","2021-07-01","31","6863","0"
"2606200","5","5611201","2022-05-01","26","92","0"
"3106200","5","5611201","2022-05-01","31","6580","0"
"1721000","5","5611205","2018-09-01","17","5","0"
"2211001","5","5611205","2018-09-01","22","13","1"
"2507507","5","5611203","2018-10-01","25","1240","0"
"2704302","5","5611204","2018-10-01","27","242","1"
"5002704","5","5611204","2018-06-01","50","302","0"
"2507507","5","5611204","2018-07-01","25","130","1"
"2704302","5","5611201","2018-07-01","27","441","1"
"2800308","5","5611203","2017-11-01","28","357","1"
"1100205","5","5611201","2017-12-01","11","1322","0"
"1400100","5","5611201","2017-12-01","14","224","1"
"1400100","5","5611204","2017-12-01","14","184","1"
"1721000","5","5611204","2017-12-01","17","252","0"
"2507507","5","5611204","2017-12-01","25","288","0"
"5300108","5","5611205","2018-02-01","53","78","0"
"1100205","5","5611203","2018-03-01","11","866","0"
"1600303","5","5611201","2018-03-01","16","691","0"
"2408102","5","5611201","2018-03-01","24","320","1"
"2507507","5","5611205","2018-03-01","25","10","0"
